date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:33	40177/40177	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:32%20GMT	http://phydev.web44.net/flame/index-carousel-wave.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-carousel-wave.html	(from http://phydev.web44.net/flame/index.html)
15:25:33	27064/27064	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:09:31%20GMT	http://phydev.web44.net/flame/img/dc-4.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dc-4.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:37	40672/40672	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:09:31%20GMT	http://phydev.web44.net/flame/img/dc-5.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dc-5.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:37	23254/23254	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:09:34%20GMT	http://phydev.web44.net/flame/img/dc-6.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dc-6.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:37	38551/38551	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:34%20GMT	http://phydev.web44.net/flame/index-video.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-video.html	(from http://phydev.web44.net/flame/index.html)
15:25:37	22741/22741	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:09:53%20GMT	http://phydev.web44.net/flame/img/dv-1.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dv-1.jpg	(from http://phydev.web44.net/flame/index.html)
15:25:38	38579/38579	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:37%20GMT	http://phydev.web44.net/flame/index-video-skew.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-video-skew.html	(from http://phydev.web44.net/flame/index.html)
15:25:39	38587/38587	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:37%20GMT	http://phydev.web44.net/flame/index-video-triangle.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-video-triangle.html	(from http://phydev.web44.net/flame/index.html)
15:25:39	38583/38583	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2019:25:38%20GMT	http://phydev.web44.net/flame/index-video-zigzag.html	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/index-video-zigzag.html	(from http://phydev.web44.net/flame/index.html)
15:25:40	23148/23148	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Dec%202017%2020:09:55%20GMT	http://phydev.web44.net/flame/img/dv-2.jpg	C:/Users/juan/Documents/personal_juan/dos/phydev.web44.net/flame/img/dv-2.jpg	(from http://phydev.web44.net/flame/index.html)
